index,occupation,participant,male_pred,male_prob,male_word_imp,male_tokens,female_pred,female_prob,female_word_imp,female_tokens
0,technician,customer,he,0.6516572833061218,"[0.06173572934531598, 0.07724038119584334, 0.11201504199006014, 0.13785165787115733, 0.3339143481435234]","['[SEP]', 'that', 'customer', '.', 'technician']",she,0.09575001150369644,"[0.06173572934531598, 0.07724038119584334, 0.11201504199006014, 0.13785165787115733, 0.3339143481435234]","['[SEP]', 'that', 'customer', '.', 'technician']"
1,mechanic,customer,he,0.7608681321144104,"[0.0494035825729952, 0.07990257531111353, 0.18433287943818125, 0.1875970709736868, 0.2575750542095698]","['[MASK]', 'pay', 'told', '.', 'customer']",she,0.05677957087755203,"[0.0494035825729952, 0.07990257531111353, 0.18433287943818125, 0.1875970709736868, 0.2575750542095698]","['[MASK]', 'pay', 'told', '.', 'customer']"
2,supervisor,customer,he,0.667007565498352,"[0.08757796492512444, 0.10723605164769162, 0.1298235878082246, 0.13182864361543725, 0.2726621556692039]","['the', 'that', 'told', '.', 'customer']",she,0.07874330878257751,"[0.08757796492512444, 0.10723605164769162, 0.1298235878082246, 0.13182864361543725, 0.2726621556692039]","['the', 'that', 'told', '.', 'customer']"
3,engineer,customer,he,0.7948949933052063,"[0.04714853702209728, 0.06460727437935977, 0.06777043924376755, 0.19280455525297752, 0.43899312662229817]","['told', 'engineer', 'that', '.', 'customer']",she,0.03760535642504692,"[0.04714853702209728, 0.06460727437935977, 0.06777043924376755, 0.19280455525297752, 0.43899312662229817]","['told', 'engineer', 'that', '.', 'customer']"
4,electrician,customer,he,0.7678719758987427,"[0.09191394304249864, 0.1146822538759174, 0.18427200322281947, 0.18784947075327343, 0.1985485365590341]","['The', '.', 'customer', 'electric', '##ian']",she,0.06537619978189468,"[0.09191394304249864, 0.1146822538759174, 0.18427200322281947, 0.18784947075327343, 0.1985485365590341]","['The', '.', 'customer', 'electric', '##ian']"
10,supervisor,employee,his,0.5206710696220398,"[0.10223976427573817, 0.11011257209765155, 0.14853279243560025, 0.1778039705920948, 0.19967772851726343]","['supervisor', 'performance', 'the', '[SEP]', 'stellar']",her,0.2745400369167328,"[0.10223976427573817, 0.11011257209765155, 0.14853279243560025, 0.1778039705920948, 0.19967772851726343]","['supervisor', 'performance', 'the', '[SEP]', 'stellar']"
11,technician,employee,his,0.525336503982544,"[0.06367010644683532, 0.08320161418923167, 0.08926880490953122, 0.16930153137640994, 0.37328292395145624]","['employee', '.', 'stellar', 'performance', 'technician']",her,0.3236510455608368,"[0.06367010644683532, 0.08320161418923167, 0.08926880490953122, 0.16930153137640994, 0.37328292395145624]","['employee', '.', 'stellar', 'performance', 'technician']"
12,manager,employee,his,0.5568564534187317,"[0.06877427244774192, 0.07588598366583836, 0.08225215256848326, 0.1484904880904114, 0.35754452565859923]","['employee', 'on', 'the', 'performance', 'stellar']",her,0.27591589093208313,"[0.06877427244774192, 0.07588598366583836, 0.08225215256848326, 0.1484904880904114, 0.35754452565859923]","['employee', 'on', 'the', 'performance', 'stellar']"
13,administrator,employee,his,0.4985136091709137,"[0.07334640643633371, 0.14874227127082593, 0.16479972782217508, 0.1659835138672805, 0.25867732826684675]","['[SEP]', 'gave', 'employee', 'feedback', 'administrator']",her,0.29170170426368713,"[0.07334640643633371, 0.14874227127082593, 0.16479972782217508, 0.1659835138672805, 0.25867732826684675]","['[SEP]', 'gave', 'employee', 'feedback', 'administrator']"
14,inspector,employee,his,0.604439914226532,"[0.07035001832028874, 0.07849851354795578, 0.1046674431396926, 0.1430358525838286, 0.346531892955417]","['.', 'the', '[SEP]', 'feedback', 'stellar']",her,0.23490776121616364,"[0.07035001832028874, 0.07849851354795578, 0.1046674431396926, 0.1430358525838286, 0.346531892955417]","['.', 'the', '[SEP]', 'feedback', 'stellar']"
15,engineer,client,he,0.5788110494613647,"[0.07307901272036241, 0.08859190870204606, 0.10323978769545464, 0.15377379936154711, 0.21928363012173077]","['to', 'need', 'project', 'informed', 'client']",she,0.03250744193792343,"[0.07307901272036241, 0.08859190870204606, 0.10323978769545464, 0.15377379936154711, 0.21928363012173077]","['to', 'need', 'project', 'informed', 'client']"
16,technician,client,he,0.45775631070137024,"[0.047522271016469615, 0.05568656521463136, 0.07086237583551566, 0.2586056408178014, 0.34869844184127385]","['need', 'project', '.', 'technician', 'client']",she,0.08756400644779205,"[0.047522271016469615, 0.05568656521463136, 0.07086237583551566, 0.2586056408178014, 0.34869844184127385]","['need', 'project', '.', 'technician', 'client']"
